,Words,Emotions
2718,im home i can feel how the cold has seeped into my arms and legs,anger
2719,i feel honoured and humbled cos hes a legend and one i still look up to,joy
2720,i inquire incheswhyinches are people relocating droves about what they feel is security in precious metal,joy
2721,i do do what i do it always feels worthwhile as soon as i step foot in that stadium wherever it might be in the world i feel at home,joy
2722,im feeling awfully irritated and worried and for a few good reasons,anger
2723,i feel reluctant to leave,fear
2724,i feel much more energetic generally im sleeping better and so is my wife,joy
2725,i remember feeling deeply disappointed,sadness
2726,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
2727,i feel so out of the loop and have missed alot but i am catching up,sadness
2728,i can however tell you that it will hurt you will be humiliated and you will feel wonderful afterwards,joy
2729,i was reading through my old messages from knight and feeling very sentimental so i texted him back,sadness
2730,ive gone through stages of nervousness and sheer terror but now i am feeling relaxed and excited,joy
2731,i feel joyful and not feeble,joy
2732,i feel like garbage i cant think about being thankful right now it hurts too badly,joy
2733,i feel its rude to take someone s photo but rather that i feel awkward asking to take the photo,anger
2734,i had expected it to be rather sickly and the coconut gives it a nice tropical feel i was disappointed there were only two,sadness
2735,i can genuinely say from the bottom of my heart that i feel absolutely thankful,joy
2736,i feel like i want to make something but the house is so messy and i am still finishing up christmas gift knitting,sadness
2737,i feel so dumb talking about this i feel like a whiny emo teenager who has so many problems and who is far too in love with her temporary boyfriend,sadness
2738,i am feeling cranky today is due to me not getting enough sleep due to the unexpected long outing yesterday night,anger
2739,i see how strong and bright you are and as you meet your milestones weeks early i feel assured that my gut was always right,joy
2740,i really love the feeling of being scared,fear
2741,i feel rewarded and useful and valuable anyway,joy
2742,i feel disgusted embarrased and sad about how i handled the situation,anger
2743,i feel wimpy for complaining about taking credits this semester because i know people who took credits regularly but man this sucks,fear
2744,i feel sorry for people who work in capital intensive fields posted on a href http zackmdavis,sadness
2745,i feel your pulse against my lips as i chase the dragon suck your lips and is your heart and tongue wish begging for my part and fingers translate your sorrow as you reach inside my soul angered in my breath of mercy the story will no unfold,anger
2746,i was feeling calm luckily was not shocked because in my mind i ve been thinking to get standby no matter what was the outcome of the result,joy
2747,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
2748,i am still feeling joyful at rest at peace and that nothing nothing nothing can stop me,joy
2749,i do not feel like a child and yet i could see myself giving into that carefree way of lestat,joy
2750,i get the feeling that the few kids that i hated senior year are gonna be there,sadness
2751,i hang out i leave feeling energized and happy,joy
2752,i feel a trace of disgrace for the gracious man s embracing her bracelet,love
2753,i drove to pay her for the snack she was looking at me wearily and i was feeling dazed by what just had happened and felt a confidence that is unusual and rare,surprise
2754,i feel really joyful img src http s,joy
2755,i was feeling out of sorts anxious not sure what to do with myself,fear
2756,i am healing but i am still feeling shaky at times i managed to get myself to finish some work this week,fear
2757,i was feeling energetic and strong,joy
2758,i want to share my feelings but don t want to feel humiliated,sadness
2759,i feel derp and innocent because we go there by lrt or the train it was always packed the last time i rode it was like years ago,joy
2760,im feeling slightly optimistic,joy
2761,i feel radiant this morning,joy
2762,i feel that i know god is real and that he is loving if i feel that i have air tight reasons for such notions what kind of sense would it make to blame him for the misfortunes that befall us when in fact jesus warns that will have tribulation in the world,love
2763,i didnt know when i feel boring but though im happy i made a new blog linked happywarmworld,sadness
2764,i was heartsick or feeling overly romantic and i dont even feel like ive made any connections like that,love
2765,i ended up with a perfect studio and now when i walk into it i feel aggravated yes it is bizarre,anger
2766,i suppose that when a magazine is presenting practical tips to their readers its editors feel the need to spice up the article in order to make it seem not so boring,sadness
2767,i cry about feeling shitty i cry because dad made fun of me for being sick haha i kid you not that has happened many times all in good fun i cry because thats what i do in all adverse situations,sadness
2768,i feel like ive entered some weird universe and i really am grateful for it,fear
2769,i think nicely sums up the feeling of talking too much about artistic pursuits,joy
2770,i just need to find ways to feel pretty,joy
2771,i see those forms that i havent do yet i just feel very agitated,anger
2772,i did feel bad because its bagel day and i accidentally had a jalapeno bagel,sadness
2773,ive had a somewhat difficult time trying to find something to feel thankful for,joy
2774,i started feeling nervous thinking about how id planned to feed younger teens,fear
2775,i begin to feel uncomfortable internally feeling nauseous light headed and experienced shortness of breath,fear
2776,i do want to feel loved and cherished by someone,love
2777,i needed a plan on how to get rid of that feeling it was totally taking over everything i am totally distracted at work with everything i m trying to do in any free time i have in the evenings the projects are taking over my life and the fact that i totally feel burnt out by it all,anger
2778,i feel resentful about being a giver,anger
2779,i celebrate in a year and how i feel about supporting some of them when the history behind most of our traditional holidays is based on some ugly stuff or at least in a lot of cases a lot stuff that i don t believe in or support,love
2780,i was feeling very defeated and like i just couldnt continue so i reluctantly asked for an epidural,sadness
2781,ive predicted angle to win and im feeling slightly less grumpy than when i wrote that lets say that gallows wins clean here to keep things tight,anger
2782,i felt this was my next step and i dont want to be doubtful but i feel dumb keeping a hope for so much money to come through in such a short time,sadness
2783,i love this community to death but sometimes i feel there at times we arent as supportive,love
2784,i am left tonight feeling so hopeful for the future of the orphan crisis in this country,joy
2785,i sing the more confident i feel but i still get a little nervous on an opening night,fear
2786,i feel i am really a cute pirate girl than the somewhat cute landlubber man that i sort of am,joy
2787,i decided to try the zipline in picnic grove since we are feeling a bit of adventurous that day,joy
2788,i know that s wrong but i feel ugly,sadness
2789,i will learn to express my feelings in a way more acceptable,joy
2790,i feel people just don t know how to fish them properly and therefore are not as popular as they should be,joy
2791,i found myself feeling jealous though,anger
2792,i was feeling for the horses cooped up and determined if we got even a little stretch of weather i was going to see that each and every horse got a chance to get outside,joy
2793,im excited to get home and spend time with everyone please feel free to email call or text and let me know if youre available for dinner or coffee or anything,joy
2794,i feel clearer more joyful and alive,joy
2795,i was feeling adventurous,joy
2796,i was left with my integrity and my dignity intact but feeling pissed off,anger
2797,i am known for letting things go when im not feeling good,joy
2798,i felt doubtful and the image that popped into my mind was of dealing with a big knot in my shoelace and then feeling frustrated,anger
2799,im feeling boring,sadness
2800,ill feel so troubled over the most trivial matters,sadness
2801,i told you i never wanted you to rot in hell and most of the time i wished i was just less stupid and clumsy so that you will never ever feel unhappy,sadness
2802,i use emoticons because it would be awkward writing i am feeling amused by what you are writing right now as opposed to xd,joy
2803,i feel like ive lost everything and everyone,sadness
2804,i feel i really wronged commodore,anger
2805,i do not however feel the loss of officer nicholsons life was any more tragic than the death of the young mother whose murder started this whole scenario in motion,sadness
2806,i feel like death think feeling like death will make me a more compassionate psychologist,love
2807,i feel like it was a bit rushed,anger
2808,i was feeling adventurous and took the stairs,joy
2809,i feel guilty not doing everything i use to i feel worried that i am a bad officer,sadness
2810,i wear this shirt i feel artistic you are artistic but now i look artistic yes son you do,joy
2811,im sure you know the feeling of cant be bothered i just feel poo,anger
2812,i dont mean that id like to chicken out but i am feeling more insecure about myself and maybe doubting the fact that i should be able to run km tomorrow,fear
2813,i feel as though the art of the romantic comedy has deteriorated as of late and i am drawn to movies like sabrina notting hill and love actually,love
2814,id have to get to the class for eight dance for an hour nine get home ten if im lucky eat i cant eat before a class as dancing when full makes me feel vile sit around digesting etc ish then get to bed and try to sleep before getting up unnaturally early,anger
2815,i am feeling confident that i will be able to get to the back door before dinner time,joy
2816,i look forward to when i am feeling better and can write more often,joy
2817,i feel he just play my feeling maybe he want to broke my hearts,sadness
2818,i closed my eyes tightly and covered my ears and thank god i woke up before i apologize for the brutality of my nightmare it left me feeling shaken and nauseous to say the least,fear
2819,i feel terribly helpless sometimes but even with the limited spiritual awareness that i have i am able to find the answers as i know the end is not the outcome of my decision i ll be able to move on readjust pick up the pieces re centre myself or enjoy my decision,fear
2820,i was actually happy to hear this because id been feeling unnaturally exhausted lately so hopefully this will help,sadness
2821,i knew i was shaking for many reasons a big one being since this cyst drama started i get so cold so fast and feel drained,sadness
2822,i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me,surprise
2823,i was feeling as if i am in the lap of the divine mother and she is holding me in her soft and tender arms,joy
2824,i let myself fall asleep earlier this afternoon and i m feeling extremely shitty,sadness
2825,i feel very relaxed playing with carl clarke says,joy
2826,i never got that i m too full feeling except for the couple times i ate sweet potatoes and trust me i was eating a lot,love
2827,i asked that no one gift me but if i go to my sister s house when everyone gathers for the holiday i will feel impolite to show up empty handed,anger
2828,i miss not feeling guilt over so much stuff because i reacted in a terrible way or said no to my kids just for the sake of saying no,sadness
2829,i feel so blessed to know that i have such an immense family of supporters whom continue to comfort me,love
2830,i remember the very first day of feeling lousy years ago and how i believed my body was betraying me,sadness
2831,i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay im worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low,sadness
2832,i asked the girls i was with if it was just me or if their eyes were feeling weird also,surprise
2833,i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement,joy
2834,i feel kind of sorry for him and the flirtiness between peeta and the heroine of the book makes me feel like i really dont want him to die even if just for katnisss feelings,sadness
2835,i feel so betrayed and humiliated,sadness
2836,i am feeling a bit gloomy i guess,sadness
2837,i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself,anger
2838,i was feeling a bit gloomy over the weekend maybe it was all these grey days weve been having,sadness
2839,i like feeling submissive or at the very least that my lover is dominant,sadness
2840,i hate these feelings of not being complacent,joy
2841,i feel utterly disgusted that they would look at me in such a way but the thing continues,anger
2842,i feel hopeless and alone and i eat to soothe myself,sadness
2843,i know first hand and all too well those feelings of pain hurt embarrassment and even shame over self image body shape physical features weight etc because of what i have let my body become,sadness
2844,i woke up this morning wanting to cry and the feeling hasnt been shaken yet,fear
2845,i know i haven t posted anything for months and i feel kind of guilty big thanks to the exams tests and assignments and all but so far so good,sadness
2846,i wished i could feel more energetic and deal with less pain but it might be my best option,joy
2847,i left for work feeling still unpleasant and cheered up a mite bit once i got there,sadness
2848,i feel terrific and i m starting to put weight on,joy
2849,i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often,anger
2850,i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more,joy
2851,i feel drained and depressed by it all,sadness
2852,i feel sorry for writers because even drecky writers can pay to have a pretty good cover done for them,sadness
2853,i have to do this and make some vj feel jealous,anger
2854,i feel inhibited by not having an outlet to deal with my sexual tensions,sadness
2855,i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger
2856,i feel there is also a difference between loving someone and being in love with someone,love
2857,i feel he was eager to help,joy
2858,i had a very provocative dream the kind that makes you feel slightly shaken as you wake up from it,fear
2859,i feel that i should write the company and tell that that for this reason alone they need to come further east,sadness
2860,i quite dig the subdued tone and plot direction i feel a reluctant emotional bond with the show,fear
2861,i am friendly and so easy to talk to if only you are open to knowing me as a friend and not from a top down approach cos i feel intimidated and when i only know i do not want to offend somebody i shut up,fear
2862,i was angry and feeling so disillusioned,sadness
2863,i dont call what i am feeling as nervous but more anxious,fear
2864,i know i have my family and friends and god but some point in your life in my life i want to feel romantic love again,love
2865,i feel really low,sadness
2866,i am feeling rather overwhelmed with all that is on my to do list,surprise
2867,i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
2868,i am feeling that cranky voice inside my head that just wants to eat whatever it wants,anger
2869,i feel so hesitant posting them,fear
2870,i have been feeling very apprehensive about going back,fear
2871,i was cleaning up the place and about minutes in i started feeling paranoid and what i can only assume is the beginning of a psychotic episode,fear
2872,i feel crazily indecisive impulsive just in a,fear
2873,i don t feel like creating another religion that will cause trouble to the troubled souls of many,sadness
2874,i dont expect reilly will mess them up and since we have no cats i feel pretty safe leaving them in place,joy
2875,i know its too late to crawl back to you but im feeling so alone,sadness
2876,i have never done anything to make her cry or want her to cry but after four months i feel a little strange i have never seen that side of her,fear
2877,i feel so exhausted from dealing with drama between other authors that i dont have energy to write,sadness
2878,im feeling suitably annoyed by the panel and its time to get you a recipe for these previously deemed unworthy treats,anger
2879,im finally feeling a little more productive,joy
2880,i feel pressure to act like im so heartbroken but secretly i dont really care that much,sadness
2881,i like to notify that i all the time feel my sweet heart beside me but i need to make love with a human i cant live without love the question is that is it a kind of infidelity with my passed sweety or not i feel that my sweet is a href http savingyourmarriagebeforeitstarts,love
2882,i must have been feeling rich,joy
2883,i probably feel the need to move on every years and the fact that ive been here over years now makes me feel totally worthless somewhere,sadness
2884,im feeling so morose,sadness
2885,i often feel offended by life,anger
2886,i have been plagued throughout my life with this uncanny feeling of disappointment that it isn t enough that i am doomed to fail and others will delight in it with an i told you so,sadness
2887,i learned in month of us manage to find another company and feel much peaceful without a boss who drunk and yell to his staffs,joy
2888,i chose to go with my gut feeling i think this only amused laetshi further if i d been the easily flustered type he d have probably said something,joy
2889,i sort of feel a bit unsure now as to what to touch upon next,fear
2890,i am feeling resentful because i am thinking to myself that she should trust me,anger
2891,i cant find it in my heart to feel the least bit disappointed for having missed it,sadness
2892,i told her i don t think she appreciates just how prevalent my feelings of unreality are that i see myself as damaged broken beyond repair and the thought of living another fifty years like this is unbearable that everything feels overwhelming,sadness
2893,i tgt v u but i still feel unhappy,sadness
2894,im feeling defeated or doubtful,sadness
2895,i feel its my job to give you perspective to at least attempt to provide context as to why seemingly intelligent folk say such unimaginable things,joy
2896,i began feeling a bit melancholy until my friend saba called asking to meet me up before waleeds birthday,sadness
2897,i left that appointment feeling really bummed that the option of a vbac had been snatched from me but also sort of content with the fact that i had prayed for and possibly received a sign of gods will for this birth,joy
2898,i am feeling a combination of smug and happy,joy
2899,i can feel the hesitation the temptation to pull back and dull the activities of the season out of habit,sadness
2900,i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,joy
2901,i feel less bitchy in the morning,anger
2902,i am feeling confident to pursue multiplayer flash games next on my agenda,joy
2903,i feels acceptable even desirable,joy
2904,i have but i still feel so useless worthless and even worse alone,sadness
2905,im happy with my race pace officially and my ability to pull it together when i started feeling crappy,sadness
2906,i felt so deep in my heart that that love was not lost that caresse was my way to be in touch with the rest of universe that love as hate as all the strong feelings are never vain and never lost,sadness
2907,im feeling rather bothered because my physical and mental clock is still in october,anger
2908,im still not sure why reilly feels the need to be so weird,fear
2909,i just got this overall feel from him that he was an elitist and somewhat jaded,sadness
2910,i wrote deepika feeling very discouraged and thinking this silhouette just would not work for me,sadness
2911,im feeling irritated by her friggin name,anger
2912,i can t do anything but feel the feelings because the issue has to get resolved to dissipate the emotion but i am powerless to make any resolution because it s not my issue,joy
2913,i started to feel a lack of connection to my husband i m sure as a direct result of not spending much one on one time together,joy
2914,i spent the following months in a drug induced haze incapable of thought or feeling but it wasn t anything as glamorous,joy
2915,i feel pain even when i see an unfortunate person in street begging why does my mind race and think why is that person there,sadness
2916,i feel idiotic since im going to bring completely separate issues up to him,sadness
2917,i feel like he deserves to be hated and i want him to know exactly how much i do,sadness
2918,im just really hurting and feeling a bit overwhelmed,fear
2919,id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know,joy
2920,i ended up changing my clothes and laying in bed with my eyes closed for the next hour and eventually i started to feel better,joy
2921,i didn t for one minute feel intimidated or stupid,fear
2922,im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said,joy
2923,i have no feelings of discontent,sadness
2924,i think it affects me so much because it results back to one of my biggest flaws which is not feeling enough pretty enough smart enough you name it,joy
2925,i am sharing information that i feel is important to personal safety and empowerment parenting and living well,joy
2926,i do i really do think i have some justification for feeling smug,joy
2927,i feel angry because i have led myself to leading people to believe i couldnt do this,anger
2928,i myself smiling through loving simple dialog child logic explain situation feelings it s funny,surprise
2929,ill just have to make some local friends i can go to the movies with and know for a fact they wont even without meaning to cause i seriously doubt there was any actual intention to hurt my feelings or actually call me heartless a moral or brainless it just came across that way to me,anger
2930,i feel privileged to belong to you,joy
2931,i feel when i just out from my dorm and began to breath a pleased liberty,joy
2932,i feel that the moment you adopt a sense of caring for others it brings you inner strength,love
2933,i feel burdened by the desire to do something but what can we do,sadness
2934,i feel graceful and almost mythical,joy
2935,i made you feel unimportant yet you never stopped to think how your actions and words were affecting me,sadness
2936,i feel so horny just thinking about this,love
2937,i feel delicious absolutely darling and delicious,joy
2938,i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience,sadness
2939,i feel so pissed off over an old friend and some friends,anger
2940,im starting to feel like you my faithful reader are my wife or something ie the one i bitch to while everyone else gets to see the better angel of my nature haha,love
2941,ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger
2942,i feel no remorse about doing this it was unsuccessful and a learning process for me in the development of this blog,sadness
2943,i feel like a dirty heal and unconformable,sadness
2944,i feel so lame and annoying and generally unliked sometimes,sadness
2945,i honestly feel we did a fantastic job,joy
2946,i highly recommend it if you want to feel totally amazing ab,joy
2947,i feel i am pretty smart raising three boys on my on and they are turning out to be great but my question myself and anyone who reads my blog whats wrong with be wiser,joy
2948,i have written i feel suddenly hesitant to post it,fear
2949,i shy away from songs that talk about how i feel toward god or that maybe even talk about my faithful response toward god,love
2950,i get lots of praises i feel proud sometimes,joy
2951,i dont even know how to express how it made me feel these kids were so appreciative of the fact that we were coming there and it was very heavy to think that maybe our music gave them a little something to grasp on to,joy
2952,i simply cannot imagine me feeling cleaning caring for a baby,love
2953,i feel greedy with my self as of late,anger
2954,im feeling bouncy enough and if i can rustle up some people keen to go with me,joy
2955,i feel reluctant to sell but hey,fear
2956,i am really worn out today and feel beaten down,sadness
2957,i didnt like that she was intent on getting in between them when they were first starting to have feelings for each other but i liked how she backed off when she realized just how strongly leo felt for clara,love
2958,i feel more relaxed now that i will get good care and that i need to accept advice given to me unless i feel very strongly otherwise,joy
2959,i feel pretty officer krupke and somewhere,joy
2960,i felt rich being able to insist on paying more than the asking price the shop assistant was obviously pleased at being able to boost the takings for the charity and i hope the generous person who donated the easel to the shop is also feeling rich,joy
2961,i often sat back and feel amazed when the episode was over,surprise
2962,i am feeling hmmmmm melancholy,sadness
2963,i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud,joy
2964,i would not have known the details i just had a feeling in my gut that i ignored,sadness
2965,i feel horrible because youd think id know after a mountain together,sadness
2966,i feel like you re important to me,joy
2967,im feeling a little bit embarrassed about the serious lapse in blogging but ive had an extremely busy past few months trying to finish new work in time for the toronto outdoor show as well as a number of other exhibitions,sadness
2968,i am by no means complete spiritually or intellectually and believe you never should be however i find myself sometimes looking on others with a knowledge and sense of feeling superior in feeling that i am further along my journey than them,joy
2969,i do not write in search of praise or recognition but it is an amazing feeling to be read and admired,joy
2970,i dont show my insecurity in my persona if not i might come off as a mad bitch whod practically hated on everyone just because shes feeling insecured and being too overly paranoid,fear
2971,i feel burdened by it,sadness
2972,i often feel lonely,sadness
2973,i feel shame on the dirty parties it should be a fair fight when we let foreign workers decide for our future and the international knows it sorry but malaysia will be like those third world countries soon,sadness
2974,im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,joy
2975,i remember sitting in class actually feeling eager to learn a amp p,joy
2976,i hate the feeling that i am a pathetic loser that can do nothing right,sadness
2977,there was joy in me when i heard that i was to take a course as a medical assistant,joy
2978,i really want to share the chance for you to win too because i feel passionate about the subject,joy
2979,i will review the film after this blog entry but for now as i have david sitting here in my garden feeling slightly smug after just discovering his film had been shortlisted for best film out of entries,joy
2980,i just feel so appreciative,joy
2981,i feeling boring,sadness
2982,i feel truly blessed to have had the opportunity to participate in review groups and i have enjoyed trying out these products and giving you my honest opinion,love
2983,i look at your kids i feel jealous sure,anger
2984,i feel so honored to call rex dingler a friend,joy
2985,i kiss your lips i feel sweet,love
2986,i feel hopeless and i realize i have met none of those goals,sadness
2987,i feel cute i feel good,joy
2988,i feel that we are heading for an abyss that has been created by the greedy the too greedy and the far too greedy,anger
2989,i feel disheartened and frustrated by the experience,sadness
2990,i am going to post my training schedule for the next several months right here so i can refer easily to it or if anyone feel like supporting me and joining me in this,joy
2991,i also feel amazed happy fortunate and extremely blessed,surprise
2992,i do feel insecure because if there was a way to examine boyfriends he d be exempted,fear
2993,i feel it in every cell of my being god really really loves him intensely and is being faithful in fulfilling all his promises to him to us as he is also doing for you and yours,love
2994,i think she apologizes for a little too much stuff that s not in her control i get the feeling she was sincere about this one,joy
2995,i feel smart telling people i like wally lamb because hes actually not chick lit so i always mention him so people will respect me more,joy
2996,i really cannot do anything can i how does it feel to have such a dumb a daughter,sadness
2997,i began to feel a bit irritable and antsy,anger
2998,i see my favorite person suffer and there is nothing i can do to take the pain away i feel useless,sadness
2999,i not seeing and feeling the divine,joy
3000,i feel fucking pathetic and desperate for your hello,sadness
3001,i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,joy
3002,ive been feeling restless inside and i dont understand why,fear
3003,i did feel unsure about it but thanks to l a lot of people liked it,fear
3004,i was feeling rather self satisfied that my teen daughter and i were facebook friends,joy
3005,im shocked i feel my own little problems put into perspective and i feel heartache for the innocent lives that have been ended,joy
3006,i feel so insecure about my writing,fear
3007,i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students,anger
3008,i feel a little bit brave,joy
3009,i often refer to myself as being weak im not sure what i mean exactly when i say it but i do know that when i reflect on the past two years i feel strong strong and accomplished,joy
3010,i still feel like i look messy and its no use to try to change it,sadness
3011,i know he needs space to deal with things but i am left suddenly feeling even more helpless and alone,sadness
3012,i am for the first time this year feeling the cold,anger
3013,i feel hopeless right,sadness
3014,i feel as though i am living on an island as i put the delicious moisturiser on a sample which is lasting a very very long time used twice a day and the rest of the products are so gentle yet cleansing and moisturising,joy
3015,i feel more like the girl i was when i was at i was fearless excited for life and discovery,joy
3016,i have a feeling might have offended one of the dorks sitting in the censorship cubicle of doom,anger
3017,i can break myself out of having this dream as it leaves me feeling groggy and disoriented and i dont like it,sadness
3018,i nodded proud of my decision to procure a pump feeling slightly smug,joy
3019,i feel ecstatic because no more homework,joy
3020,i wanted to really love this book social thought provoking personal histories are just my thing but i left feeling disappointed by this one,sadness
3021,i went to registration passed an uneventful five minutes feeling deeply amused,joy
3022,i feel charmed to see my harder plan and adherence appear to accomplishment now and in august if we will attempt for an olympic medal,joy
3023,i feel a despairing sadness because after so much time working on this we have to cut ties,sadness
3024,i have an overwhelming feeling of sadness that there are people in this world that are so hateful,anger
3025,i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy
3026,i feel too rushed,anger
3027,i can feel his impatient and i can t stop my body from giving him positive response,anger
3028,i have been having bad dreams really weird dreams that make me feel like i got no sleep at all and with completely disturbed thoughts,sadness
3029,i feel pressured helpless because i dont have control over this,fear
3030,i woke up feeling dazed and confused,surprise
3031,im done with putting up with this constant bullying because that is what it is when you feel threatened and constantly on the defensive and i am tired of constantly defending myself to others,fear
3032,i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy
3033,ive been feeling all listless this two days,sadness
3034,im feeling a little stressed,sadness
3035,i feel cute because the tune of the song days of christmas played on my mind pia again almost my best friend because were going out like everyday and i can share to her almost everything and we understand together and i went out,joy
3036,i feel like i have suddenly lost a limb in a tragic accident,sadness
3037,i think that when we say i feel so alone in this or i feel like i am facing this all alone we dont really mean what we say,sadness
3038,i feel like im having something really naughty like dessert for breakfast,love
3039,i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,fear
3040,i don t want any of you to feel left out i am offering a discount on my tea totes to you my beloved readers beginning today through april th,love
3041,i also feel fearful and concerned for them both worried,fear
3042,ive sat there and wondered why a guy i liked hasnt texted me calling is not really my thing it makes me feel too awkward or why when he seems all efforts to the contrary he wont take a chance on me as his girlfriend,sadness
3043,i feel fine which is good enough on a sunday evening,joy
3044,i do not see or feel the need to respond to any of your ludicrous questions concerning anything,sadness
3045,i saw nothing on the dining room table had moved i think im starting to feel its safe to come out again,joy
3046,i feel a bit disillusioned about men as a whole population,sadness
3047,im meant to feel longing,love
3048,i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy
3049,i feel there isnt much meat but yoshidas perspective grows ever tragic,sadness
3050,i have mishandled things alongside the rest and im feeling remorseful about it right now as opposed to my very initial reaction of not wanting to care because maybe somewhere deep down in me im hoping things might be like before,sadness
3051,i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,anger
3052,i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,joy
3053,i guess ive been feeling agitated lately,anger
3054,im lying in bed feeling very anxious and have a knot in my stomach,fear
3055,i feel low confidence sometimes,sadness
3056,i know every baby is different but i feel like ive already exhausted pun intended my bag of tricks,sadness
3057,i feel discouraged when being peter varvel isnt good enough i put on a persona someone who inspires me whether theyre real or imagined,sadness
3058,i get the feeling you may think this is an attraction thing on his part as long as you are faithful to your husband and friend there should be no problems,love
3059,i feel eager to tell my parents,joy
3060,i was feeling very keen to get out of the camp site before they realised i had been given the best gift of all free accommodation and free services,joy
3061,i still feel guilty for being a christian with depression,sadness
3062,i don t like the idea that women in the entertainment industry especially in pop music may feel pressured to turn themselves into hypersexual tartlets but i get the feeling that rihanna isn t being provocative because she feels she has to,fear
3063,i don t feel like i lost too much fitness during my three weeks off either,sadness
3064,i feel really bitter,anger
3065,i don t feel so exhausted all the time,sadness
3066,i get through it pretty quickly but it just makes me feel like im not being respected,joy
3067,i don t feel respect i don t feel admiration and i don t feel an entirely romantic tone,love
3068,i feel like we owe it to each other to be intelligent about our sexual decisions,joy
3069,i still feel brave when i walk into the saudi perfume scented terminal at dulles where my flight will leave from in an hour,joy
3070,a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger
3071,i love gives me a great feeling of contented accomplishment,joy
3072,i have had since july st i am feeling shaken knowing i will be homeless in two months and as close to a home that i have is gone,fear
3073,i can live out my values instead of just being crushed by debt feeling rejected and feeling empty,sadness
3074,i feel thank you everyone for the amazing thoughts and prayers,joy
3075,ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,joy
3076,im feeling frantic about time as if the whole summer were a giant hour glass and if im not vigilant all the sand is going to rush out in a whoosh and ill have dipshit to show for it,fear
3077,i feel offended and sad because they do not know their ignorance,anger
3078,i kind of feel fearful of starting,fear
3079,i kept my laptop close searching for jobs that i could build a career out of and looking for those all important christmas recipes to make this year feel a little more special,joy
3080,i am merely a man who will feel humiliated whenever i am intimidated by you,sadness
3081,i no longer feel like a pathetic sad fat girl who cant eat nachos every day,sadness
3082,i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,fear
3083,i feel that people are a shamed of me,sadness
3084,i hit a certain point in the middle and something was revealed that left me feeling so overwhelmingly devastated that i had to set the book down and walk away for a while,sadness
3085,i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,joy
3086,i pick up the cards i feel a shiver go up my spine and i just feel so curious,surprise
3087,i know just how you feel any ache pain in tummy i get frightened incase it em again,fear
3088,i do for a living and lately more often than not both me and my wife who s also an ubuntu user have been feeling a bit uncertain about linux being the platform where we want to keep working,fear
3089,im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy
3090,i feel it aching in my chest,sadness
3091,i feel content with it all,joy
3092,im just feeling bashful whenever i talk to you,fear
